GID,CP_CD,SGG_NM,HE_SEID,CPH_NM,CPH_FULL_N,CAC_CD,APM_NO,SID_CD,SGG_CD,AREA_SZ,CREATE_DT,CREATOR_ID,UPDATE_DT,UPDATER_ID,AREA_SZ2,MIN_SCALE,MAX_SCALE,URL,centroid_longitude,centroid_latitude
201,12000232000000034,논산시,HE0000149124,논산 관촉사 석등,논산 관촉사 석등(보물 제232호),12,0002320000000,ADDR440000,ADD1442300,4.05,,,,,4.043693,,,,127.11294238654648,36.18821384599265
1625,18000268000000037,안동시,HE0000148339,안동 번남고택,안동 번남고택(국가민속문화유산 제268호),18,0002680000000,ADDR470000,ADD1471700,3381.19,,,,,3381.18672,,,,128.85450565840293,36.7192903039377
430,16000336000000037,울릉군,HE0000148750,독도 천연보호구역,독도 천연보호구역(천연기념물 제336호),16,0003360000000,ADDR470000,ADD1479400,180749.67,,,,,180441.678638,,,,131.86601970040286,37.24204537892137
387,13000217000000031,화성시,HE0000147083,화성 당성,화성 당성(사적 제217호),13,0002170000000,ADDR410000,ADD1415900,212060.28,,,,,211911.117405,,,,126.71420959916613,37.19820928194562
388,12000021000000034,부여군,HE0000146301,부여 당 유인원 기공비,부여 당 유인원 기공비(보물 제21호),12,0000210000000,ADDR440000,ADD1447600,1.81,,,,,1.820415,,,,126.9176676440468,36.27635801867677
389,18000261000000022,동구,HE0000149207,대구 백불암 고택,대구 백불암 고택(국가민속문화유산 제261호),18,0002610000000,ADDR270000,ADD1271400,3117.78,,,,,3115.446087,,,,128.68684287571514,35.90804728117443
390,13000290000000022,중구,HE0000148694,대구 계산동성당,대구 계산동성당(사적 제290호),13,0002900000000,ADDR270000,ADD1271100,879.47,,,,,878.643925,,,,128.5878426358447,35.86791723456078
467,13000229000000034,예산군,HE0000148501,예산 윤봉길 의사 유적,예산 윤봉길 의사 유적(사적 제229호),13,0002290000000,ADDR440000,ADD1448100,140884.6,,,,,140785.587956,,,,126.6527942105381,36.68598550613666
392,16000001000000022,동구,HE0000148965,대구 도동 측백나무 숲,대구 도동 측백나무 숲(천연기념물 제1호),16,0000010000000,ADDR270000,ADD1271400,37855.49,,,,,37814.050066,,,,128.66342149904293,35.91837885226448
393,12000601000000022,동구,HE0000149132,대구 도학동 승탑,대구 도학동 승탑(보물 제601호),12,0006010000000,ADDR270000,ADD1271400,3.08,,,,,3.091315,,,,128.70422688348933,35.99253876995959
420,12000089000000036,영암군,HE0000145970,영암 도갑사 석조여래좌상,영암 도갑사 석조여래좌상(보물 제89호),12,0000890000000,ADDR460000,ADD1468300,5.36,,,,,5.367386,,,,126.66379996194337,34.753989792412426
